name,lat,lon,cluster,source,country,max_abs
kanton-013b-kir-uhslc,-2.81,-171.718,25,uhslc,kir,0.2895604040011349
lamu-149b-ken-uhslc,-2.272,40.903,26,uhslc,ken,0.2973263675764326
funafuti-67440-tuv-bom,-8.5025,179.1952,27,bom,tuv,0.2982802102706071
funafuti-025a-tuv-uhslc,-8.525,179.195,28,uhslc,tuv,0.3013313846447135
mokuoloe-1612480-usa-noaa,21.4331,-157.79,29,noaa,usa,0.3028735481299738
fuerteventura-fue-esp-cmems,28.5,-13.85,30,cmems,esp,0.3060999874076162
zanzibar-151a-tza-uhslc,-6.155,39.19,31,uhslc,tza,0.306233973386709
las_palmas-217d-esp-uhslc,28.133,-15.417,32,uhslc,esp,0.3089090153582039
ajaccio_aspretto-300-fra-refmar,41.9228,8.7628,33,refmar,fra,0.3109668265646025
almeria-alm-esp-cmems,36.83,-2.478,34,cmems,esp,0.3118682943312407
rikitea-016a-fra-uhslc,-23.125,-134.953,35,uhslc,fra,0.312777208191358
nice-339-fra-refmar,43.6955,7.2853,36,refmar,fra,0.317752945172275
harvest_oil_p_ca-594a-usa-uhslc,34.468,-120.673,37,uhslc,usa,0.3203987292913409
melilla-mel-esp-cmems,35.291,-2.918,38,cmems,esp,0.3212927659362795
catania-cat-ita-ispra,37.4981,15.0938,39,ispra,ita,0.3213242797609674
caldera-088a-chl-uhslc,-27.067,-70.833,40,uhslc,chl,0.3217515446485879
